day;month;year;cases;deaths;contry
4;12;2020;0;0;Anguilla
3;12;2020;0;0;Anguilla
2;12;2020;0;0;Anguilla
1;12;2020;2;0;Anguilla
14;12;2020;0;0;Antigua_and_Barbuda
13;12;2020;1;0;Antigua_and_Barbuda
12;12;2020;1;0;Antigua_and_Barbuda
11;12;2020;0;0;Antigua_and_Barbuda
10;12;2020;0;0;Antigua_and_Barbuda
9;12;2020;0;0;Antigua_and_Barbuda
8;12;2020;0;0;Antigua_and_Barbuda
7;12;2020;2;0;Antigua_and_Barbuda
6;12;2020;0;0;Antigua_and_Barbuda
5;12;2020;0;0;Antigua_and_Barbuda
4;12;2020;0;0;Antigua_and_Barbuda
3;12;2020;2;0;Antigua_and_Barbuda
2;12;2020;1;0;Antigua_and_Barbuda
1;12;2020;0;0;Antigua_and_Barbuda
14;12;2020;3558;98;Argentina
13;12;2020;5274;62;Argentina
12;12;2020;7112;175;Argentina
11;12;2020;6994;209;Argentina
10;12;2020;5303;213;Argentina
9;12;2020;3610;121;Argentina
8;12;2020;3216;118;Argentina
7;12;2020;3278;138;Argentina
6;12;2020;5201;120;Argentina
5;12;2020;6899;207;Argentina
4;12;2020;7625;149;Argentina
3;12;2020;7535;228;Argentina
2;12;2020;8037;198;Argentina
1;12;2020;5724;257;Argentina
14;12;2020;357;17;Armenia
13;12;2020;1013;24;Armenia
12;12;2020;995;17;Armenia
11;12;2020;1077;29;Armenia
10;12;2020;1174;23;Armenia
9;12;2020;1138;21;Armenia
8;12;2020;584;28;Armenia
7;12;2020;407;18;Armenia
6;12;2020;978;17;Armenia
5;12;2020;1267;32;Armenia
4;12;2020;1184;23;Armenia
3;12;2020;1277;26;Armenia
2;12;2020;1264;35;Armenia
1;12;2020;843;29;Armenia
14;12;2020;5;0;Aruba
13;12;2020;13;0;Aruba
12;12;2020;20;0;Aruba
11;12;2020;15;1;Aruba
10;12;2020;12;0;Aruba
9;12;2020;18;0;Aruba
8;12;2020;1;0;Aruba
7;12;2020;8;0;Aruba
6;12;2020;15;0;Aruba
5;12;2020;19;0;Aruba
4;12;2020;21;0;Aruba
3;12;2020;30;0;Aruba
2;12;2020;27;0;Aruba
1;12;2020;7;0;Aruba
14;12;2020;6;0;Australia
13;12;2020;13;0;Australia
12;12;2020;12;0;Australia
11;12;2020;7;0;Australia
10;12;2020;6;0;Australia
9;12;2020;15;0;Australia
8;12;2020;7;0;Australia
7;12;2020;9;0;Australia
6;12;2020;7;0;Australia
5;12;2020;10;0;Australia
4;12;2020;16;0;Australia
3;12;2020;11;0;Australia
2;12;2020;8;0;Australia
1;12;2020;11;1;Australia
14;12;2020;3005;45;Austria
13;12;2020;2938;96;Austria
12;12;2020;3026;101;Austria
11;12;2020;2466;125;Austria
10;12;2020;2913;126;Austria
9;12;2020;2531;80;Austria
8;12;2020;2181;95;Austria
7;12;2020;2745;58;Austria
6;12;2020;3160;87;Austria
5;12;2020;3634;140;Austria
4;12;2020;3783;118;Austria
3;12;2020;3660;133;Austria
2;12;2020;3464;213;Austria
1;12;2020;2348;79;Austria
14;12;2020;4451;39;Azerbaijan
13;12;2020;4268;43;Azerbaijan
12;12;2020;4381;47;Azerbaijan
11;12;2020;4219;38;Azerbaijan
10;12;2020;4403;42;Azerbaijan
9;12;2020;4387;38;Azerbaijan
8;12;2020;3086;43;Azerbaijan
7;12;2020;4356;39;Azerbaijan
6;12;2020;4323;42;Azerbaijan
5;12;2020;4267;41;Azerbaijan
4;12;2020;4189;40;Azerbaijan
3;12;2020;3942;37;Azerbaijan
2;12;2020;4426;41;Azerbaijan
1;12;2020;2981;31;Azerbaijan
14;12;2020;15;0;Bahamas
13;12;2020;11;0;Bahamas
12;12;2020;63;0;Bahamas
11;12;2020;0;0;Bahamas
10;12;2020;6;0;Bahamas
9;12;2020;0;0;Bahamas
8;12;2020;0;0;Bahamas
7;12;2020;9;0;Bahamas
6;12;2020;5;0;Bahamas
5;12;2020;0;0;Bahamas
4;12;2020;22;0;Bahamas
3;12;2020;0;0;Bahamas
2;12;2020;2;0;Bahamas
1;12;2020;45;0;Bahamas
14;12;2020;178;0;Bahrain
13;12;2020;145;1;Bahrain
12;12;2020;188;0;Bahrain
11;12;2020;137;0;Bahrain
10;12;2020;201;3;Bahrain
9;12;2020;183;3;Bahrain
8;12;2020;181;0;Bahrain
7;12;2020;198;0;Bahrain
6;12;2020;132;0;Bahrain
5;12;2020;168;0;Bahrain
4;12;2020;162;0;Bahrain
3;12;2020;133;0;Bahrain
2;12;2020;181;0;Bahrain
1;12;2020;169;0;Bahrain
14;12;2020;1355;32;Bangladesh
13;12;2020;1329;34;Bangladesh
12;12;2020;1884;19;Bangladesh
11;12;2020;1861;37;Bangladesh
10;12;2020;2159;24;Bangladesh
9;12;2020;2202;32;Bangladesh
8;12;2020;2198;36;Bangladesh
7;12;2020;1666;31;Bangladesh
6;12;2020;1888;35;Bangladesh
5;12;2020;2252;24;Bangladesh
4;12;2020;2316;35;Bangladesh
3;12;2020;2198;38;Bangladesh
2;12;2020;2293;31;Bangladesh
1;12;2020;2525;35;Bangladesh
14;12;2020;0;0;Barbados
13;12;2020;0;0;Barbados
12;12;2020;1;0;Barbados
11;12;2020;1;0;Barbados
10;12;2020;0;0;Barbados
9;12;2020;1;0;Barbados
8;12;2020;2;0;Barbados
7;12;2020;2;0;Barbados
6;12;2020;1;0;Barbados
5;12;2020;3;0;Barbados
4;12;2020;2;0;Barbados
3;12;2020;1;0;Barbados
2;12;2020;2;0;Barbados
1;12;2020;1;0;Barbados
14;12;2020;1961;9;Belarus
13;12;2020;1975;8;Belarus
12;12;2020;1967;8;Belarus
11;12;2020;1939;8;Belarus
10;12;2020;1851;8;Belarus
9;12;2020;1649;7;Belarus
8;12;2020;1796;8;Belarus
7;12;2020;1878;9;Belarus
6;12;2020;1896;8;Belarus
5;12;2020;1774;9;Belarus
4;12;2020;1701;7;Belarus
3;12;2020;1689;8;Belarus
2;12;2020;1572;8;Belarus
1;12;2020;1639;7;Belarus
14;12;2020;2;6;Belgium
13;12;2020;856;48;Belgium
12;12;2020;2751;92;Belgium
11;12;2020;2604;87;Belgium
10;12;2020;2708;83;Belgium
9;12;2020;2715;91;Belgium
8;12;2020;3353;96;Belgium
7;12;2020;592;83;Belgium
6;12;2020;1098;85;Belgium
5;12;2020;2549;106;Belgium
4;12;2020;2364;93;Belgium
3;12;2020;2611;117;Belgium
2;12;2020;2674;110;Belgium
1;12;2020;3293;99;Belgium
14;12;2020;122;3;Belize
13;12;2020;208;7;Belize
12;12;2020;160;2;Belize
11;12;2020;286;0;Belize
10;12;2020;506;4;Belize
9;12;2020;60;3;Belize
8;12;2020;184;3;Belize
7;12;2020;168;1;Belize
6;12;2020;218;2;Belize
5;12;2020;147;6;Belize
4;12;2020;1382;16;Belize
3;12;2020;0;0;Belize
2;12;2020;0;0;Belize
1;12;2020;111;1;Belize
14;12;2020;0;0;Benin
13;12;2020;0;0;Benin
12;12;2020;0;0;Benin
11;12;2020;0;0;Benin
10;12;2020;17;0;Benin
9;12;2020;0;0;Benin
8;12;2020;18;0;Benin
7;12;2020;0;0;Benin
6;12;2020;0;0;Benin
5;12;2020;0;0;Benin
4;12;2020;0;0;Benin
3;12;2020;40;1;Benin
2;12;2020;0;0;Benin
1;12;2020;41;0;Benin
14;12;2020;40;0;Bermuda
13;12;2020;0;0;Bermuda
12;12;2020;27;0;Bermuda
11;12;2020;24;0;Bermuda
10;12;2020;10;0;Bermuda
9;12;2020;24;0;Bermuda
8;12;2020;18;0;Bermuda
7;12;2020;0;0;Bermuda
6;12;2020;10;0;Bermuda
5;12;2020;6;0;Bermuda
4;12;2020;5;0;Bermuda
3;12;2020;5;0;Bermuda
2;12;2020;2;0;Bermuda
1;12;2020;9;0;Bermuda
14;12;2020;1;0;Bhutan
13;12;2020;1;0;Bhutan
12;12;2020;2;0;Bhutan
11;12;2020;1;0;Bhutan
10;12;2020;0;0;Bhutan
9;12;2020;1;0;Bhutan
8;12;2020;2;0;Bhutan
7;12;2020;4;0;Bhutan
6;12;2020;2;0;Bhutan
5;12;2020;6;0;Bhutan
4;12;2020;3;0;Bhutan
3;12;2020;1;0;Bhutan
2;12;2020;4;0;Bhutan
1;12;2020;14;0;Bhutan
14;12;2020;120;4;Bolivia
13;12;2020;333;1;Bolivia
12;12;2020;312;5;Bolivia
11;12;2020;325;4;Bolivia
10;12;2020;214;2;Bolivia
9;12;2020;189;5;Bolivia
8;12;2020;97;2;Bolivia
7;12;2020;68;3;Bolivia
6;12;2020;167;5;Bolivia
5;12;2020;139;5;Bolivia
4;12;2020;192;10;Bolivia
3;12;2020;184;9;Bolivia
2;12;2020;102;6;Bolivia
1;12;2020;86;5;Bolivia
14;12;2020;0;0;Bonaire, Saint Eustatius and Saba
13;12;2020;0;0;Bonaire, Saint Eustatius and Saba
12;12;2020;3;0;Bonaire, Saint Eustatius and Saba
11;12;2020;1;0;Bonaire, Saint Eustatius and Saba
10;12;2020;0;0;Bonaire, Saint Eustatius and Saba
9;12;2020;0;0;Bonaire, Saint Eustatius and Saba
8;12;2020;5;0;Bonaire, Saint Eustatius and Saba
7;12;2020;0;0;Bonaire, Saint Eustatius and Saba
6;12;2020;0;0;Bonaire, Saint Eustatius and Saba
5;12;2020;0;0;Bonaire, Saint Eustatius and Saba
4;12;2020;1;0;Bonaire, Saint Eustatius and Saba
3;12;2020;1;0;Bonaire, Saint Eustatius and Saba
2;12;2020;0;0;Bonaire, Saint Eustatius and Saba
1;12;2020;1;0;Bonaire, Saint Eustatius and Saba
14;12;2020;811;38;Bosnia_and_Herzegovina
13;12;2020;763;48;Bosnia_and_Herzegovina
12;12;2020;940;51;Bosnia_and_Herzegovina
11;12;2020;1286;48;Bosnia_and_Herzegovina
10;12;2020;1296;70;Bosnia_and_Herzegovina
9;12;2020;1077;69;Bosnia_and_Herzegovina
8;12;2020;437;60;Bosnia_and_Herzegovina
7;12;2020;739;30;Bosnia_and_Herzegovina
6;12;2020;975;57;Bosnia_and_Herzegovina
5;12;2020;1254;53;Bosnia_and_Herzegovina
4;12;2020;1161;39;Bosnia_and_Herzegovina
3;12;2020;1293;46;Bosnia_and_Herzegovina
2;12;2020;1184;46;Bosnia_and_Herzegovina
1;12;2020;527;61;Bosnia_and_Herzegovina
14;12;2020;0;0;Botswana
13;12;2020;0;0;Botswana
12;12;2020;443;1;Botswana
11;12;2020;0;0;Botswana
10;12;2020;0;0;Botswana
9;12;2020;527;2;Botswana
8;12;2020;0;0;Botswana
7;12;2020;0;0;Botswana
6;12;2020;1521;0;Botswana
5;12;2020;0;0;Botswana
4;12;2020;18;3;Botswana
3;12;2020;0;0;Botswana
2;12;2020;0;0;Botswana
1;12;2020;0;0;Botswana
14;12;2020;21825;279;Brazil
13;12;2020;43900;686;Brazil
12;12;2020;54428;672;Brazil
11;12;2020;53347;770;Brazil
10;12;2020;53453;836;Brazil
9;12;2020;51088;842;Brazil
8;12;2020;20371;376;Brazil
7;12;2020;26363;313;Brazil
6;12;2020;43209;664;Brazil
5;12;2020;46884;694;Brazil
4;12;2020;50434;755;Brazil
3;12;2020;49863;698;Brazil
2;12;2020;50909;697;Brazil
1;12;2020;21138;287;Brazil
14;12;2020;0;0;British_Virgin_Islands
13;12;2020;0;0;British_Virgin_Islands
12;12;2020;1;0;British_Virgin_Islands
11;12;2020;2;0;British_Virgin_Islands
10;12;2020;0;0;British_Virgin_Islands
9;12;2020;0;0;British_Virgin_Islands
8;12;2020;0;0;British_Virgin_Islands
7;12;2020;0;0;British_Virgin_Islands
6;12;2020;0;0;British_Virgin_Islands
5;12;2020;0;0;British_Virgin_Islands
4;12;2020;0;0;British_Virgin_Islands
3;12;2020;0;0;British_Virgin_Islands
2;12;2020;0;0;British_Virgin_Islands
1;12;2020;0;0;British_Virgin_Islands
14;12;2020;0;0;Brunei_Darussalam
13;12;2020;0;0;Brunei_Darussalam
12;12;2020;0;0;Brunei_Darussalam
11;12;2020;0;0;Brunei_Darussalam
10;12;2020;1;0;Brunei_Darussalam
9;12;2020;0;0;Brunei_Darussalam
8;12;2020;0;0;Brunei_Darussalam
7;12;2020;0;0;Brunei_Darussalam
6;12;2020;0;0;Brunei_Darussalam
5;12;2020;0;0;Brunei_Darussalam
4;12;2020;0;0;Brunei_Darussalam
3;12;2020;1;0;Brunei_Darussalam
2;12;2020;0;0;Brunei_Darussalam
1;12;2020;0;0;Brunei_Darussalam
14;12;2020;497;62;Bulgaria
13;12;2020;1287;64;Bulgaria
12;12;2020;3097;157;Bulgaria
11;12;2020;3075;122;Bulgaria
10;12;2020;3328;127;Bulgaria
9;12;2020;3980;146;Bulgaria
8;12;2020;2764;213;Bulgaria
7;12;2020;577;68;Bulgaria
6;12;2020;2037;79;Bulgaria
5;12;2020;3614;147;Bulgaria
4;12;2020;3280;156;Bulgaria
3;12;2020;3138;159;Bulgaria
2;12;2020;3475;153;Bulgaria
1;12;2020;2814;221;Bulgaria
14;12;2020;136;0;Burkina_Faso
13;12;2020;315;2;Burkina_Faso
12;12;2020;0;0;Burkina_Faso
11;12;2020;110;0;Burkina_Faso
10;12;2020;0;0;Burkina_Faso
9;12;2020;154;1;Burkina_Faso
8;12;2020;103;0;Burkina_Faso
7;12;2020;56;0;Burkina_Faso
6;12;2020;65;0;Burkina_Faso
5;12;2020;29;0;Burkina_Faso
4;12;2020;52;0;Burkina_Faso
3;12;2020;79;0;Burkina_Faso
2;12;2020;45;0;Burkina_Faso
1;12;2020;30;0;Burkina_Faso
14;12;2020;1;0;Burundi
13;12;2020;5;0;Burundi
12;12;2020;2;0;Burundi
11;12;2020;1;0;Burundi
10;12;2020;4;0;Burundi
9;12;2020;18;0;Burundi
8;12;2020;4;0;Burundi
7;12;2020;0;0;Burundi
6;12;2020;2;0;Burundi
5;12;2020;0;0;Burundi
4;12;2020;3;0;Burundi
3;12;2020;0;0;Burundi
2;12;2020;1;0;Burundi
1;12;2020;7;0;Burundi
14;12;2020;0;0;Cambodia
13;12;2020;2;0;Cambodia
12;12;2020;1;0;Cambodia
11;12;2020;0;0;Cambodia
10;12;2020;2;0;Cambodia
9;12;2020;4;0;Cambodia
8;12;2020;2;0;Cambodia
7;12;2020;2;0;Cambodia
6;12;2020;1;0;Cambodia
5;12;2020;14;0;Cambodia
4;12;2020;0;0;Cambodia
3;12;2020;2;0;Cambodia
2;12;2020;3;0;Cambodia
1;12;2020;3;0;Cambodia
14;12;2020;0;0;Cameroon
13;12;2020;0;0;Cameroon
12;12;2020;56;0;Cameroon
11;12;2020;124;0;Cameroon
10;12;2020;211;0;Cameroon
9;12;2020;0;0;Cameroon
8;12;2020;0;0;Cameroon
7;12;2020;0;0;Cameroon
6;12;2020;0;0;Cameroon
5;12;2020;265;2;Cameroon
4;12;2020;0;0;Cameroon
3;12;2020;0;0;Cameroon
2;12;2020;42;4;Cameroon
1;12;2020;328;0;Cameroon
14;12;2020;5891;81;Canada
13;12;2020;6011;99;Canada
12;12;2020;6772;142;Canada
11;12;2020;6739;126;Canada
10;12;2020;6295;116;Canada
9;12;2020;5981;90;Canada
8;12;2020;7872;112;Canada
7;12;2020;6261;76;Canada
6;12;2020;6352;93;Canada
5;12;2020;6299;89;Canada
4;12;2020;6495;82;Canada
3;12;2020;6307;114;Canada
2;12;2020;5329;81;Canada
1;12;2020;7861;98;Canada
14;12;2020;55;0;Cape_Verde
13;12;2020;40;0;Cape_Verde
12;12;2020;59;1;Cape_Verde
11;12;2020;11;0;Cape_Verde
10;12;2020;74;0;Cape_Verde
9;12;2020;55;0;Cape_Verde
8;12;2020;0;0;Cape_Verde
7;12;2020;27;0;Cape_Verde
6;12;2020;40;1;Cape_Verde
5;12;2020;58;1;Cape_Verde
4;12;2020;71;1;Cape_Verde
3;12;2020;51;0;Cape_Verde
2;12;2020;290;2;Cape_Verde
1;12;2020;0;0;Cape_Verde
14;12;2020;0;0;Cayman_Islands
13;12;2020;0;0;Cayman_Islands
12;12;2020;6;0;Cayman_Islands
11;12;2020;0;0;Cayman_Islands
10;12;2020;1;0;Cayman_Islands
9;12;2020;1;0;Cayman_Islands
8;12;2020;2;0;Cayman_Islands
7;12;2020;0;0;Cayman_Islands
6;12;2020;0;0;Cayman_Islands
5;12;2020;0;0;Cayman_Islands
4;12;2020;3;0;Cayman_Islands
3;12;2020;0;0;Cayman_Islands
2;12;2020;3;0;Cayman_Islands
1;12;2020;8;0;Cayman_Islands
14;12;2020;0;0;Central_African_Republic
13;12;2020;0;0;Central_African_Republic
12;12;2020;4;0;Central_African_Republic
11;12;2020;5;0;Central_African_Republic
10;12;2020;0;0;Central_African_Republic
9;12;2020;5;0;Central_African_Republic
8;12;2020;0;0;Central_African_Republic
7;12;2020;0;0;Central_African_Republic
6;12;2020;4;0;Central_African_Republic
5;12;2020;0;0;Central_African_Republic
4;12;2020;0;0;Central_African_Republic
3;12;2020;0;0;Central_African_Republic
2;12;2020;5;0;Central_African_Republic
1;12;2020;0;0;Central_African_Republic
14;12;2020;19;0;Chad
13;12;2020;6;0;Chad
12;12;2020;6;0;Chad
11;12;2020;7;0;Chad
10;12;2020;3;0;Chad
9;12;2020;1;0;Chad
8;12;2020;3;0;Chad
7;12;2020;3;0;Chad
6;12;2020;3;0;Chad
5;12;2020;11;0;Chad
4;12;2020;3;0;Chad
3;12;2020;5;0;Chad
2;12;2020;12;1;Chad
1;12;2020;6;0;Chad
14;12;2020;2138;40;Chile
13;12;2020;1807;64;Chile
12;12;2020;1534;8;Chile
11;12;2020;1662;84;Chile
10;12;2020;1244;10;Chile
9;12;2020;1392;17;Chile
8;12;2020;1760;35;Chile
7;12;2020;1714;36;Chile
6;12;2020;1533;34;Chile
5;12;2020;1729;39;Chile
4;12;2020;1508;81;Chile
3;12;2020;1034;8;Chile
2;12;2020;1121;20;Chile
1;12;2020;1313;54;Chile
14;12;2020;12;0;China
13;12;2020;24;0;China
12;12;2020;13;0;China
11;12;2020;15;0;China
10;12;2020;12;0;China
9;12;2020;15;0;China
8;12;2020;12;0;China
7;12;2020;15;0;China
6;12;2020;18;0;China
5;12;2020;17;0;China
4;12;2020;17;0;China
3;12;2020;16;0;China
2;12;2020;9;0;China
1;12;2020;12;0;China
14;12;2020;8702;187;Colombia
13;12;2020;8163;197;Colombia
12;12;2020;8998;185;Colombia
11;12;2020;7778;176;Colombia
10;12;2020;7523;150;Colombia
9;12;2020;7510;163;Colombia
8;12;2020;5997;187;Colombia
7;12;2020;8854;175;Colombia
6;12;2020;9642;166;Colombia
5;12;2020;9285;162;Colombia
4;12;2020;9233;188;Colombia
3;12;2020;9297;183;Colombia
2;12;2020;7986;168;Colombia
1;12;2020;8430;182;Colombia
14;12;2020;0;0;Comoros
13;12;2020;11;0;Comoros
12;12;2020;0;0;Comoros
11;12;2020;0;0;Comoros
10;12;2020;0;0;Comoros
9;12;2020;1;0;Comoros
8;12;2020;0;0;Comoros
7;12;2020;0;0;Comoros
6;12;2020;1;0;Comoros
5;12;2020;0;0;Comoros
4;12;2020;2;0;Comoros
3;12;2020;0;0;Comoros
2;12;2020;2;0;Comoros
1;12;2020;0;0;Comoros
14;12;2020;0;0;Congo
13;12;2020;0;0;Congo
12;12;2020;0;0;Congo
11;12;2020;0;0;Congo
10;12;2020;275;5;Congo
9;12;2020;0;0;Congo
8;12;2020;0;0;Congo
7;12;2020;0;0;Congo
6;12;2020;0;0;Congo
5;12;2020;0;0;Congo
4;12;2020;0;0;Congo
3;12;2020;0;0;Congo
2;12;2020;0;0;Congo
1;12;2020;0;0;Congo
14;12;2020;0;0;Costa_Rica
13;12;2020;0;0;Costa_Rica
12;12;2020;1132;13;Costa_Rica
11;12;2020;1127;18;Costa_Rica
10;12;2020;1258;18;Costa_Rica
9;12;2020;1009;21;Costa_Rica
8;12;2020;2736;52;Costa_Rica
7;12;2020;0;0;Costa_Rica
6;12;2020;0;0;Costa_Rica
5;12;2020;1180;16;Costa_Rica
4;12;2020;1165;18;Costa_Rica
3;12;2020;1168;8;Costa_Rica
2;12;2020;534;5;Costa_Rica
1;12;2020;2545;36;Costa_Rica
14;12;2020;41;0;Cote_dIvoire
13;12;2020;21;0;Cote_dIvoire
12;12;2020;28;0;Cote_dIvoire
11;12;2020;43;0;Cote_dIvoire
10;12;2020;34;1;Cote_dIvoire
9;12;2020;6;0;Cote_dIvoire
8;12;2020;22;0;Cote_dIvoire
7;12;2020;44;0;Cote_dIvoire
6;12;2020;29;0;Cote_dIvoire
5;12;2020;23;0;Cote_dIvoire
4;12;2020;28;0;Cote_dIvoire
3;12;2020;27;0;Cote_dIvoire
2;12;2020;3;0;Cote_dIvoire
1;12;2020;21;1;Cote_dIvoire
14;12;2020;3363;78;Croatia
13;12;2020;4135;78;Croatia
12;12;2020;4396;64;Croatia
11;12;2020;4620;53;Croatia
10;12;2020;4520;69;Croatia
9;12;2020;2613;65;Croatia
8;12;2020;1886;59;Croatia
7;12;2020;2899;72;Croatia
6;12;2020;4084;70;Croatia
5;12;2020;3955;68;Croatia
4;12;2020;4534;48;Croatia
3;12;2020;3539;55;Croatia
2;12;2020;2900;75;Croatia
1;12;2020;1830;74;Croatia
14;12;2020;69;0;Cuba
13;12;2020;87;1;Cuba
12;12;2020;86;0;Cuba
11;12;2020;75;0;Cuba
10;12;2020;124;0;Cuba
9;12;2020;76;0;Cuba
8;12;2020;124;0;Cuba
7;12;2020;68;0;Cuba
6;12;2020;104;0;Cuba
5;12;2020;79;0;Cuba
4;12;2020;75;0;Cuba
3;12;2020;75;0;Cuba
2;12;2020;97;1;Cuba
1;12;2020;51;1;Cuba
14;12;2020;48;1;Cura?§ao
13;12;2020;172;2;Cura?§ao
12;12;2020;79;0;Cura?§ao
11;12;2020;79;0;Cura?§ao
10;12;2020;72;0;Cura?§ao
9;12;2020;38;1;Cura?§ao
8;12;2020;0;0;Cura?§ao
7;12;2020;125;0;Cura?§ao
6;12;2020;121;0;Cura?§ao
5;12;2020;150;0;Cura?§ao
4;12;2020;82;0;Cura?§ao
3;12;2020;155;0;Cura?§ao
2;12;2020;124;3;Cura?§ao
1;12;2020;15;0;Cura?§ao
14;12;2020;301;1;Cyprus
13;12;2020;324;2;Cyprus
12;12;2020;424;3;Cyprus
11;12;2020;403;2;Cyprus
10;12;2020;363;2;Cyprus
9;12;2020;419;5;Cyprus
8;12;2020;416;2;Cyprus
7;12;2020;270;2;Cyprus
6;12;2020;369;2;Cyprus
5;12;2020;289;3;Cyprus
4;12;2020;348;2;Cyprus
3;12;2020;292;3;Cyprus
2;12;2020;318;0;Cyprus
1;12;2020;182;1;Cyprus
14;12;2020;2000;74;Czechia
13;12;2020;3657;85;Czechia
12;12;2020;6217;109;Czechia
11;12;2020;5872;115;Czechia
10;12;2020;6406;90;Czechia
9;12;2020;5857;100;Czechia
8;12;2020;4237;134;Czechia
7;12;2020;2654;87;Czechia
6;12;2020;1773;77;Czechia
5;12;2020;4743;97;Czechia
4;12;2020;4621;126;Czechia
3;12;2020;4568;108;Czechia
2;12;2020;5176;112;Czechia
1;12;2020;3575;157;Czechia
14;12;2020;52;4;Democratic_Republic_of_the_Congo
13;12;2020;119;0;Democratic_Republic_of_the_Congo
12;12;2020;172;2;Democratic_Republic_of_the_Congo
11;12;2020;173;0;Democratic_Republic_of_the_Congo
10;12;2020;154;0;Democratic_Republic_of_the_Congo
9;12;2020;93;6;Democratic_Republic_of_the_Congo
8;12;2020;155;0;Democratic_Republic_of_the_Congo
7;12;2020;67;0;Democratic_Republic_of_the_Congo
6;12;2020;213;6;Democratic_Republic_of_the_Congo
5;12;2020;33;0;Democratic_Republic_of_the_Congo
4;12;2020;149;0;Democratic_Republic_of_the_Congo
3;12;2020;145;1;Democratic_Republic_of_the_Congo
2;12;2020;128;1;Democratic_Republic_of_the_Congo
1;12;2020;158;3;Democratic_Republic_of_the_Congo
14;12;2020;2642;6;Denmark
13;12;2020;3552;8;Denmark
12;12;2020;3075;9;Denmark
11;12;2020;3132;14;Denmark
10;12;2020;2558;3;Denmark
9;12;2020;2150;7;Denmark
8;12;2020;2046;9;Denmark
7;12;2020;1745;7;Denmark
6;12;2020;2115;11;Denmark
5;12;2020;1603;9;Denmark
4;12;2020;1605;6;Denmark
3;12;2020;1586;6;Denmark
2;12;2020;1468;9;Denmark
1;12;2020;1129;8;Denmark
14;12;2020;3;0;Djibouti
13;12;2020;4;0;Djibouti
12;12;2020;4;0;Djibouti
11;12;2020;0;0;Djibouti
10;12;2020;3;0;Djibouti
9;12;2020;6;0;Djibouti
8;12;2020;7;0;Djibouti
7;12;2020;9;0;Djibouti
6;12;2020;2;0;Djibouti
5;12;2020;1;0;Djibouti
4;12;2020;7;0;Djibouti
3;12;2020;2;0;Djibouti
2;12;2020;1;0;Djibouti
1;12;2020;2;0;Djibouti
14;12;2020;0;0;Dominica
13;12;2020;0;0;Dominica
12;12;2020;2;0;Dominica
11;12;2020;0;0;Dominica
10;12;2020;0;0;Dominica
9;12;2020;0;0;Dominica
8;12;2020;0;0;Dominica
7;12;2020;0;0;Dominica
6;12;2020;0;0;Dominica
5;12;2020;0;0;Dominica
4;12;2020;0;0;Dominica
3;12;2020;0;0;Dominica
